repetitiveness_score,len,ppl
0.0,15,2.1414929363407222
9.090909090909092,39,1.522519709885699
7.563025210084033,200,1.2393845495359288
16.666666666666664,9,4.527697988398055
1.1235955056179776,200,1.0337388707381463
1.1235955056179776,200,1.0337388707381463
0.0,81,1.7730884165409238
6.666666666666667,17,3.0549300383335543
0.0,4,3.780445471111213
25.0,14,2.8972162703418327
11.11111111111111,13,2.505568384655295
0.0,4,10.821822922639823
0.0,39,1.2048122880103336
0.0,3,26.552146466524817
16.216216216216218,56,1.9353042710769952
17.391304347826086,61,1.380441932575717
20.56737588652482,170,1.4549091084943915
0.0,6,6.182197990231478
14.285714285714285,11,3.235901229707963
20.0,19,2.2165405111436476
2.857142857142857,200,1.0565375163234183
15.753424657534246,200,1.7757039564162416
0.0,15,2.9592619412929273
1.7543859649122806,200,1.1655185538598847
16.666666666666664,9,4.081930603770513
1.1235955056179776,200,1.0337388707381463
0.0,4,10.095068171108055
3.571428571428571,30,1.5028876199051693
0.0,17,2.2172100474361125
0.0,4,8.697473069923051
16.666666666666664,9,3.7542060481065467
0.0,15,3.651275740791997
2.631578947368421,55,1.168736787323641
