File,n,Repeated N-grams,Total N-grams,Repetition Percentage
conditional_topk_k=160_large.jsonl,3,10741,639997,1.6782891169802356
conditional_topk_k=160_large.jsonl,4,6711,635024,1.056810451258535
conditional_topk_k=160_large.jsonl,5,4952,630067,0.7859481610685847
conditional_topk_k=10_t=0.7_large.jsonl,1,114229,668787,17.08002697420853
conditional_topk_k=10_t=0.7_large.jsonl,2,83984,663787,12.652251399921962
conditional_topk_k=10_t=0.7_large.jsonl,3,61612,658794,9.352240609355883
conditional_topk_k=10_t=0.7_large.jsonl,4,50172,653803,7.673871181380323
conditional_topk_k=10_t=0.7_large.jsonl,5,43099,648817,6.642705107911784
conditional_bs_w=16_large.jsonl,1,52815,288184,18.326832856785945
conditional_bs_w=16_large.jsonl,2,49517,283184,17.485804282727837
conditional_bs_w=16_large.jsonl,3,46697,278184,16.786371610157307
conditional_bs_w=16_large.jsonl,4,44464,273212,16.274541381784108
conditional_bs_w=16_large.jsonl,5,42510,268287,15.84497198895213
conditional_sampling_t=0.3_large.jsonl,1,103405,693361,14.913587582803187
conditional_sampling_t=0.3_large.jsonl,2,106292,688361,15.441316402294728
conditional_sampling_t=0.3_large.jsonl,3,100893,683370,14.764037051670398
conditional_sampling_t=0.3_large.jsonl,4,96712,678384,14.256232458312695
conditional_sampling_t=0.3_large.jsonl,5,93328,673402,13.859180697414025
conditional_topk_k=320_large.jsonl,1,88119,650058,13.555559657753616
conditional_topk_k=320_large.jsonl,2,25008,645058,3.876860685395732
conditional_topk_k=320_large.jsonl,3,10288,640070,1.6073241989157434
conditional_topk_k=320_large.jsonl,4,6726,635096,1.0590524897023441
conditional_topk_k=320_large.jsonl,5,5111,630133,0.8110986093412025
conditional_topk_k=5120_large.jsonl,1,76589,633512,12.089589463183017
conditional_topk_k=5120_large.jsonl,2,17870,628512,2.8432233592994245
conditional_topk_k=5120_large.jsonl,3,6840,623525,1.0969888937893428
conditional_topk_k=5120_large.jsonl,4,4337,618558,0.7011468609249254
conditional_topk_k=5120_large.jsonl,5,3312,613603,0.5397626804301804
conditional_topp_p=0.4_large.jsonl,1,112873,674447,16.735636751294024
conditional_topp_p=0.4_large.jsonl,2,99338,669447,14.838814723196908
conditional_topp_p=0.4_large.jsonl,3,83718,664459,12.599422989228831
conditional_topp_p=0.4_large.jsonl,4,74310,659480,11.267968702614182
conditional_topp_p=0.4_large.jsonl,5,67762,654507,10.35313602451922
conditional_sampling_t=0.6_large.jsonl,1,110661,663237,16.684985910014067
conditional_sampling_t=0.6_large.jsonl,2,82708,658237,12.565079143226528
conditional_sampling_t=0.6_large.jsonl,3,62422,653248,9.55563583815029
conditional_sampling_t=0.6_large.jsonl,4,52142,648267,8.043290804560467
conditional_sampling_t=0.6_large.jsonl,5,45731,643292,7.108902333621435
conditional_topk_k=320_t=0.7_large.jsonl,1,106506,660374,16.128133451650125
conditional_topk_k=320_t=0.7_large.jsonl,2,64646,655374,9.863986059868106
conditional_topk_k=320_t=0.7_large.jsonl,3,41873,650383,6.438206410684167
conditional_topk_k=320_t=0.7_large.jsonl,4,32107,645400,4.974744344592501
conditional_topk_k=320_t=0.7_large.jsonl,5,26752,640424,4.177232583413488
conditional_topp_p=0.99990234375_large.jsonl,1,75072,630688,11.90319143538485
conditional_topp_p=0.99990234375_large.jsonl,2,17561,625688,2.806670417204741
conditional_topp_p=0.99990234375_large.jsonl,3,7162,620699,1.1538604057683355
conditional_topp_p=0.99990234375_large.jsonl,4,4826,615725,0.7837914653457307
conditional_topp_p=0.99990234375_large.jsonl,5,3805,610763,0.622991242102092
conditional_topp_p=0.1_large.jsonl,1,93132,698338,13.336235461910995
conditional_topp_p=0.1_large.jsonl,2,99607,693338,14.366297534535825
conditional_topp_p=0.1_large.jsonl,3,98181,688348,14.263279620192112
conditional_topp_p=0.1_large.jsonl,4,96769,683365,14.160660847424145
conditional_topp_p=0.1_large.jsonl,5,95447,678387,14.069697679937853
conditional_topk_k=20_t=0.7_large.jsonl,1,110160,663607,16.600186556199677
conditional_topk_k=20_t=0.7_large.jsonl,2,73597,658607,11.17464588138298
conditional_topk_k=20_t=0.7_large.jsonl,3,50444,653615,7.717693137397398
conditional_topk_k=20_t=0.7_large.jsonl,4,39613,648628,6.10719857915477
conditional_topk_k=20_t=0.7_large.jsonl,5,33142,643643,5.1491276996720226
conditional_topp_p=0.8_large.jsonl,1,96168,644220,14.927819688926144
conditional_topp_p=0.8_large.jsonl,2,38827,639220,6.07412158568255
conditional_topp_p=0.8_large.jsonl,3,19444,634231,3.065759951815663
conditional_topp_p=0.8_large.jsonl,4,13261,629255,2.1074127341062048
conditional_topp_p=0.8_large.jsonl,5,10218,624286,1.6367498229977926
conditional_topp_p=0.996875_large.jsonl,1,75466,630217,11.974605572366343
conditional_topp_p=0.996875_large.jsonl,2,17313,625217,2.769118562035261
conditional_topp_p=0.996875_large.jsonl,3,6695,620229,1.0794400132854156
conditional_topp_p=0.996875_large.jsonl,4,4446,615253,0.7226295523955186
conditional_topp_p=0.996875_large.jsonl,5,3467,610289,0.5680915107432708
